Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
64,Juan Albino Mendez; Ana Leon; Ayoze Marrero; Jose M. Gonzalez-Cava; Jose Antonio Reboso; Jose Ignacio Estevez; José F. Gomez-Gonzalez,2018,Improving the anesthetic process by a fuzzy rule based medical decision system,Artificial Intelligence in Medicine,Scopus; Web of Science; PubMed,10.1016/j.artmed.2017.12.005,Spain,Clinical Decision Support,Anesthesiology,Fuzzy Logic,Fuzzy rule-based system,To optimize anesthetic decision-making during clinical processes,Clinical process and patient monitoring data,Not reported in the citation record,Signal cleaning and normalization,Fuzzy rule-based anesthetic decision system,Rule-based control decisions,Clinical safety indicators and decision accuracy,Improves consistency of anesthetic management decisions,High interpretability via fuzzy rules,Clinical and/or experimental validation,Deployment constraints and patient variability,Integration into operating-room clinical workflows,Supports safer anesthesia decision support,Classical,Linguistic rules for clinical uncertainty,No,Standalone,Interpretability versus adaptability to diverse patients,Need for multi-center clinical validation
65,John N. Mordeson; Sunil Mathew,2025,Fuzzy implication operators: health security and political risk,Elsevier Book Chapter,Scopus,10.1016/b978-0-44-333949-3.00013-1,Global,Health Security Analytics,Public Health Policy,Fuzzy Logic,Risk modeling,To model health security and political risk using fuzzy implication operators,Theoretical and secondary indicators,Not reported in the citation record,Not reported in the citation record,Fuzzy implication operator framework,Fuzzy inference operators,Not reported in the citation record,Provides formal operators for modeling health security risk,High conceptual interpretability,Theoretical validation,Limited empirical demonstration,Apply to global health security indices,Supports structured health security assessment,Classical,Rule-based uncertainty representation,No,Standalone,Theoretical generality versus applied validation,Need for empirical risk calibration
66,Xiaodi Liu; Zengwen Wang; Shitao Zhang; Harish Garg,2021,Novel correlation coefficient between hesitant fuzzy sets with application to medical diagnosis,Expert Systems with Applications,Scopus; Web of Science,10.1016/j.eswa.2021.115393,Global,Clinical Decision Support,Medical Diagnosis,Hesitant Fuzzy Sets,Statistical correlation modeling,To improve diagnostic inference using a new hesitant fuzzy correlation coefficient,Benchmark diagnosis datasets,Not reported in the citation record,Data normalization and hesitant mapping,Hesitant fuzzy correlation framework,Correlation-based diagnostic decision,Diagnostic accuracy and correlation strength,Improves diagnosis via robust fuzzy correlation modeling,Moderate interpretability via correlation formulation,Comparative validation,Limited clinical validation,Real-world clinical dataset evaluation,Improves diagnostic reasoning under hesitation,Higher-order,Hesitant membership uncertainty,No,Standalone,Better expressiveness versus computational overhead,Need for applied clinical evaluation
67,Ben Zhang; Chenxu Ming,2023,A patent portfolio value analysis based on intuitionistic fuzzy sets: An empirical analysis of artificial intelligence for healthcare,Journal of Industrial Information Integration,Scopus; Web of Science,10.1016/j.joitmc.2023.100124,China,Health Informatics Innovation Analytics,Health Artificial Intelligence,Intuitionistic Fuzzy Sets,Portfolio valuation analytics,To value healthcare AI patent portfolios under uncertainty,Patent and bibliometric datasets,Not reported in the citation record,Data cleaning and normalization,Intuitionistic fuzzy valuation framework,Multi-criteria scoring and ranking,Valuation consistency and ranking robustness,Improves interpretation of innovation value under uncertainty,Moderate interpretability,Empirical validation,Data completeness and valuation bias,Linking patents to clinical outcomes,Supports strategic planning for digital health innovation,Orthopair,Intuitionistic membership/non-membership uncertainty,Yes,Hybrid,Model interpretability versus data bias,Need for clinical impact linkage
68,P. Muthukumar; G. Sai Sundara Krishnan,2016,A similarity measure of intuitionistic fuzzy soft sets and its application in medical diagnosis,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2015.12.002,India,Clinical Decision Support,Medical Diagnosis,Intuitionistic Fuzzy Soft Sets,Similarity measures,To improve medical diagnosis using new similarity measures,Benchmark diagnosis datasets,Not reported in the citation record,Data normalization,Similarity-based intuitionistic fuzzy soft diagnostic model,Similarity-based decision inference,Diagnostic accuracy and discrimination ability,Improves classification of diagnostic alternatives,Moderate interpretability via similarity logic,Theoretical and comparative validation,Limited clinical evaluation,Clinical dataset testing and deployment,Enhances diagnostic support under uncertainty,Orthopair,Intuitionistic soft uncertainty,No,Standalone,Improved accuracy versus limited real-world testing,Need for clinical benchmarking
69,M.M. Kamruzzaman; Saad Alanazi; Madallah Alruwaili; Ibrahim Alrashdi; Yousef Alhwaiti; Nasser Alshammari,2022,Fuzzy-assisted machine learning framework for the fog-computing system in remote healthcare monitoring,Measurement,Scopus; Web of Science,10.1016/j.measurement.2022.111085,Saudi Arabia,Remote Monitoring / Internet of Medical Things,Chronic Disease Monitoring,Fuzzy Logic,Machine Learning; Fog computing,To improve remote monitoring using fuzzy assistance in fog computing,Wearable and sensor data,Not reported in the citation record,Data cleaning and normalization,Fog-based fuzzy-assisted machine learning architecture,Adaptive inference and classification,Classification accuracy and latency reduction,Improves monitoring accuracy and reduces response delays,Partial interpretability via fuzzy rules,Experimental validation,Resource constraints and network variability,Edge deployment and security integration,Supports efficient remote patient monitoring,Hybrid,Sensor uncertainty handled via fuzzy inference,No,Hybrid,Accuracy gains versus computational overhead,Need for real clinical deployment evaluation
70,Muhammad Touqeer; Sadaf Shaheen; Tahira Jabeen; Saleh Al Sulaie; Dumitru Baleanu; Ali Ahmadian,2022,A signed distance based ranking approach with unknown fuzzy priority vectors for medical diagnosis involving interval type-2 trapezoidal pythagorean fuzzy preference relations,Operational Research Perspectives,Scopus,10.1016/j.orp.2022.100259,Global,Clinical Decision Support,Medical Diagnosis,Interval Type-2 Pythagorean Fuzzy Sets,Ranking and preference modeling,To rank diagnostic options with incomplete priority information,Expert judgments,Not applicable,Linguistic scaling and normalization,Interval type-2 Pythagorean fuzzy ranking framework,Diagnostic alternative ranking,Ranking stability and robustness,Improves ranking accuracy under incomplete preferences,Moderate interpretability,Theoretical validation,Complex formulation and computation,Simplified ranking for clinical settings,Supports structured diagnostic prioritization,Higher-order,Interval type-2 and Pythagorean uncertainty,Yes,Hybrid,Robustness versus computational complexity,Need for applied clinical decision evaluation
71,Fei Gao; Meihong Han; Siyang Wang; Jie Gao,2024,A novel Fermatean fuzzy BWM-VIKOR based multi-criteria decision-making approach for selecting health care waste treatment technology,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2023.107451,China,Healthcare Waste Management,Public Health,Fermatean Fuzzy Sets,Best–Worst Method; VIKOR,To select optimal healthcare waste treatment technologies,Expert evaluations and policy criteria,Not applicable,Data normalization,Fermatean fuzzy BWM–VIKOR framework,Compromise solution ranking,Ranking robustness and sensitivity analysis,Improves waste technology selection under uncertainty,Moderate interpretability,Comparative validation,Expert dependence and contextual variation,Field trials and policy integration,Supports safer healthcare waste strategies,Higher-order,Fermatean fuzzy uncertainty,Yes,Hybrid,Decision quality versus model complexity,Need for implementation evaluation
72,Amin Janghorbani; Mohammad Hassan Moradi,2017,Fuzzy Evidential Network and Its Application as Medical Prognosis and Diagnosis Models,Journal of Biomedical Informatics,Scopus; Web of Science; PubMed,10.1016/j.jbi.2017.07.004,Iran,Clinical Decision Support,Medical Prognosis and Diagnosis,Fuzzy Logic,Dempster–Shafer evidence networks,To model prognosis and diagnosis using fuzzy evidential networks,Clinical datasets,Not reported in the citation record,Data normalization and evidence fusion,Fuzzy evidential network architecture,Evidence-based inference,Area under the receiver operating characteristic curve and predictive accuracy,Improves prognosis and diagnostic reasoning under uncertainty,Moderate interpretability via network structure,Experimental validation,Model complexity and data requirements,Scaling to multi-institution data,Improves uncertainty-aware clinical inference,Hybrid,Evidential and fuzzy uncertainty fusion,No,Hybrid,Accuracy improvements versus computational complexity,Need for large-scale clinical validation
73,Pierre Guy Atangana Njock; Shui-Long Shen; Annan Zhou; Zhen-Yu Yin; Yi Zeng,2024,Harnessing fuzzy logic for building structural health during large diameter tunnelling in urban area,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2024.108519,China,Health Monitoring Systems,Infrastructure Safety,Fuzzy Logic,Engineering optimization,To assess and support structural health decisions in urban tunnelling,Sensor and engineering monitoring data,Not reported in the citation record,Data filtering and normalization,Fuzzy logic structural health framework,Risk-aware decision support,Prediction accuracy and safety risk reduction,Improves structural health assessment and decision reliability,Moderate interpretability,Simulation and/or field validation,Data heterogeneity and site dependence,Real-time monitoring integration,Supports safer urban infrastructure decisions,Classical,Fuzzy uncertainty in sensor indicators,No,Standalone,Real-time accuracy versus computation time,Need for generalization across sites
74,Igor Barone de Medeiros; Maria Augusta Soares Machado; Wallace José Damasceno; André Machado Caldeira; Rodrigo Costa dos Santos; Joel Batista da Silva Filho,2017,A Fuzzy Inference System to Support Medical Diagnosis in Real Time,Procedia Computer Science,Scopus,10.1016/j.procs.2017.11.356,Brazil,Clinical Decision Support,Medical Diagnosis,Fuzzy Inference System,Rule-based inference,To deliver real-time diagnostic support using fuzzy inference,Clinical monitoring data,Not reported in the citation record,Data normalization and rule tuning,Real-time fuzzy inference architecture,Fuzzy rule-based decision,Diagnostic accuracy and response time,Improves real-time diagnostic decision support,High interpretability via rules,Experimental validation,Limited scope of clinical testing,Integration with hospital systems,Supports real-time clinical decision support,Classical,Fuzzy rule-based uncertainty,No,Standalone,Interpretability versus scalability,Need for broader clinical deployment
75,Wei Li; Xiaolei Wang; Bin Yang,2024,Three-way decisions with dual hesitant fuzzy covering-based rough set and their applications in medical diagnosis,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2024.111695,China,Clinical Decision Support,Medical Diagnosis,Dual Hesitant Fuzzy Sets,Rough sets; Three-way decision theory,To support diagnosis using three-way decisions under uncertainty,Benchmark diagnostic datasets,Not reported in the citation record,Data normalization and discretization,Dual hesitant fuzzy rough set framework,Three-way diagnostic decision,Classification accuracy and decision stability,Improves handling of uncertain diagnosis via three-way outcomes,Moderate interpretability,Comparative validation,Model complexity,Clinical validation with real cases,Improves uncertainty-tolerant medical decision support,Higher-order,Dual hesitant uncertainty representation,No,Hybrid,Better uncertainty handling versus computational burden,Need for clinical validation
76,Majid Ghasemi; Manoochehr Kelarestaghi; Farshad Eshghi; Arash Sharifi,2020,FDSR: A new fuzzy discriminative sparse representation method for medical image classification,Artificial Intelligence in Medicine,Scopus; Web of Science; PubMed,10.1016/j.artmed.2020.101876,Iran,Medical Image Analysis,Radiology,Fuzzy Logic,Sparse representation learning,To improve medical image classification using discriminative fuzzy sparse representation,Medical imaging datasets,Not reported in the citation record,Image normalization and feature extraction,Fuzzy discriminative sparse representation model,Image classification inference,Classification accuracy and area under the receiver operating characteristic curve,Improves image classification performance under uncertainty,Partial interpretability via sparse features,Cross-validation,Computational demand,Real-time imaging workflow deployment,Improves reliability of medical image classification,Hybrid,Fuzzy uncertainty in feature representation,No,Hybrid,Accuracy versus computational cost,Need for deployment studies
77,Shengli Li; Cuiping Wei,2020,A large scale group decision making approach in healthcare service based on sub-group weighting model and hesitant fuzzy linguistic information,Computers & Industrial Engineering,Scopus; Web of Science,10.1016/j.cie.2020.106444,China,Healthcare Service Management,Health Service Quality,Hesitant Fuzzy Linguistic Sets,Group decision-making,To support large-scale group decisions in healthcare services,Survey and expert judgment data,Not reported in the citation record,Linguistic normalization,Hesitant fuzzy subgroup weighting architecture,Group aggregation and ranking,Consensus level and ranking robustness,Improves large-scale healthcare service decisions,Moderate interpretability,Comparative validation,Scalability and data collection constraints,Integration with patient satisfaction analytics,Supports large-scale service decision-making,Higher-order,Hesitant linguistic uncertainty,Yes,Hybrid,Consensus robustness versus computational cost,Need for real operational evaluation
78,Garima Bisht; A.K. Pal,2024,Prospect-regret theory based decision-making approach for incomplete probabilistic hesitant fuzzy environment: An application to medical field,Expert Systems with Applications,Scopus; Web of Science,10.1016/j.eswa.2024.123906,India,Clinical Decision Support,Medical Decision-Making,Probabilistic Hesitant Fuzzy Sets,Prospect theory; Regret theory,To improve medical decisions under incomplete probabilistic hesitation,Expert judgment and decision scenarios,Not applicable,Linguistic scaling and probability normalization,Prospect–regret hesitant fuzzy decision model,Multi-criteria ranking,Ranking robustness and sensitivity analysis,Improves decision stability under incomplete information,Moderate interpretability,Theoretical and comparative validation,Model complexity,Clinical decision case studies and validation,Enhances decision quality under uncertainty,Higher-order,Probabilistic hesitation uncertainty,Yes,Hybrid,Behavioral realism versus computational complexity,Need for clinical case validation
79,Shahzaib Ashraf; Chiranjibe Jana; Valentina E. Balas; Witold Pedrycz,2025,Disc q-Rung Orthopair Fuzzy Schweizer–Sklar aggregation operators and their application in adaptive healthcare technologies,Elsevier Book Chapter,Scopus,10.1016/b978-0-44-333997-4.00012-5,Global,Adaptive Healthcare Technologies,Remote Monitoring,q-Rung Orthopair Fuzzy Sets,Schweizer–Sklar aggregation,To support adaptive healthcare decisions using advanced aggregation operators,Expert and scenario data,Not applicable,Linguistic normalization,q-Rung fuzzy aggregation framework,Adaptive decision aggregation,Decision robustness and adaptability,Improves adaptability of healthcare decision logic,Moderate interpretability,Theoretical validation,Limited deployment evidence,Implementation in adaptive monitoring platforms,Supports adaptive healthcare decision support,Higher-order,q-Rung orthopair uncertainty,Yes,Hybrid,Adaptability versus operator complexity,Need for applied system validation
80,Shahzaib Ashraf; Chiranjibe Jana; Valentina E. Balas; Witold Pedrycz,2025,Strategic resource allocation for smart healthcare management using Disc q-Rung Orthopair Fuzzy hybrid aggregation information,Elsevier Book Chapter,Scopus,10.1016/b978-0-44-333997-4.00007-1,Global,Smart Healthcare Management,Health Systems,q-Rung Orthopair Fuzzy Sets,Hybrid aggregation,To allocate resources strategically under uncertainty,Expert judgment and planning scenarios,Not applicable,Linguistic scaling and normalization,q-Rung fuzzy resource allocation framework,Multi-criteria allocation decision,Allocation efficiency and ranking robustness,Improves strategic allocation decisions,Moderate interpretability,Theoretical validation,Context dependence,Real-world hospital resource allocation studies,Supports evidence-informed resource management,Higher-order,q-Rung orthopair uncertainty,Yes,Hybrid,Robustness versus computational burden,Need for real operational validation
81,Hassanali Faraji Sabokbar; Hossein Mohammadi; Siamak Tahmasbi; Yousef Rafii; Ali Hosseini,2021,Measuring spatial accessibility and equity to healthcare services using fuzzy inference system,Applied Geography,Scopus; Web of Science,10.1016/j.apgeog.2021.102584,Iran,Health Services Accessibility,Public Health,Fuzzy Inference System,Geospatial analysis,To evaluate access and equity of healthcare services,Geospatial and service location data,Not reported in the citation record,Data standardization and spatial preprocessing,Fuzzy inference geospatial accessibility model,Rule-based accessibility scoring,Equity index and accessibility score,Improves assessment of spatial health equity,High interpretability via rules,Empirical validation,Data quality and spatial resolution limits,Integration with health planning tools,Supports equitable health service planning,Classical,Linguistic and spatial uncertainty,No,Standalone,Interpretability versus spatial data demands,Need for linkage to health outcomes
82,Peng Wu; Ligang Zhou; Luis Martínez,2022,An integrated hesitant fuzzy linguistic model for multiple attribute group decision-making for health management center selection,Computers & Industrial Engineering,Scopus; Web of Science,10.1016/j.cie.2022.108404,China,Health Service Management,Health Facility Selection,Hesitant Fuzzy Linguistic Sets,Group decision-making,To select optimal health management centers using hesitant linguistic assessments,Expert judgment,Not applicable,Linguistic normalization,Hesitant fuzzy linguistic group decision model,Multi-attribute facility ranking,Ranking robustness and consensus level,Improves facility selection under uncertainty,Moderate interpretability,Comparative validation,Expert subjectivity,Real-world facility planning validation,Improves health center selection decisions,Higher-order,Hesitant linguistic uncertainty,Yes,Hybrid,Decision quality versus elicitation burden,Need for operational deployment studies
83,Bandar Ali Mohammed Al-Rami Al-Ghamdi,2024,Analyzing the impact of data visualization applications for diagnosing the health conditions through hesitant fuzzy-based hybrid medical expert system,Alexandria Engineering Journal,Scopus; Web of Science,10.1016/j.asej.2024.102705,Saudi Arabia,Clinical Decision Support,General Diagnosis,Hesitant Fuzzy Sets,Medical expert system,To evaluate how visualization supports diagnosis within a fuzzy expert system,Clinical and/or simulated diagnostic data,Not reported in the citation record,Data normalization and feature preparation,Hesitant fuzzy hybrid expert system,Rule-based diagnostic inference,Diagnostic accuracy and usability indicators,Improves diagnostic decision quality with visualization support,Moderate interpretability via fuzzy rules,Experimental validation,Usability variability,Clinical usability trials,Supports interpretable diagnostic tools,Hybrid,Hesitant uncertainty handling,No,Hybrid,Usability gains versus model complexity,Need for user-centered clinical validation
84,Samaneh Salari; Ali Karimi,2025,Introducing an integrated approach for fire safety assessment in healthcare facilities by interval valued neutrosophic-AHP and Fuzzy Inference System,Heliyon,Scopus; Web of Science,10.1016/j.heliyon.2025.e41660,Iran,Healthcare Facility Safety,Hospital Safety,Interval-Valued Neutrosophic Sets,Fuzzy Analytic Hierarchy Process; Fuzzy Inference System,To assess fire safety risks in healthcare facilities,Expert inspection and safety criteria,Not applicable,Linguistic scaling and normalization,Neutrosophic AHP with fuzzy inference,Risk prioritization and scoring,Safety risk score and ranking robustness,Improves structured assessment of fire safety priorities,Moderate interpretability,Expert validation,Subjectivity and context dependence,Integration with safety audits and monitoring,Supports safer healthcare facilities,Hybrid,Neutrosophic and fuzzy uncertainty,Yes,Hybrid,Robustness versus elicitation burden,Need for multi-hospital validation
85,Ananya Bose; Ujjwal Maulik; Anasua Sarkar,2024,An entropy-based membership approach on type-II fuzzy set (EMT2FCM) for biomedical image segmentation,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2023.107267,India,Medical Image Segmentation,Radiology,Type-2 Fuzzy Sets,Clustering and entropy modeling,To improve biomedical image segmentation using entropy-based membership functions,Biomedical imaging datasets,Not reported in the citation record,Image normalization and noise reduction,Type-2 fuzzy c-means with entropy membership,Image segmentation inference,Dice similarity coefficient and segmentation accuracy,Improves segmentation boundary quality under uncertainty,Partial interpretability via membership maps,Cross-validation,Parameter sensitivity,Clinical imaging workflow evaluation,Supports more reliable medical image segmentation,Higher-order,Type-2 membership uncertainty,No,Hybrid,Segmentation quality versus runtime,Need for clinical segmentation benchmarking
86,Sayanta Chakraborty; Apu Kumar Saha,2023,Novel Fermatean Fuzzy Bonferroni Mean aggregation operators for selecting optimal health care waste treatment technology,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2022.105752,India,Healthcare Waste Management,Public Health,Fermatean Fuzzy Sets,Bonferroni mean aggregation,To select waste treatment technologies under uncertainty,Expert evaluations,Not applicable,Linguistic normalization,Fermatean fuzzy aggregation decision model,Multi-criteria ranking,Ranking stability and sensitivity analysis,Improves reliability of waste technology selection,Moderate interpretability,Comparative validation,Context-specific criteria,Policy integration and real-world evaluation,Supports sustainable waste treatment decisions,Higher-order,Fermatean fuzzy uncertainty,Yes,Hybrid,Robustness versus computational overhead,Need for implementation studies
87,Emanuel Ontiveros; Patricia Melin; Oscar Castillo,2020,Comparative study of interval Type-2 and general Type-2 fuzzy systems in medical diagnosis,Information Sciences,Scopus; Web of Science,10.1016/j.ins.2020.03.059,Mexico,Clinical Decision Support,Medical Diagnosis,Type-2 Fuzzy Logic,Comparative modeling,To compare interval type-2 and general type-2 fuzzy systems for diagnosis,Clinical and benchmark datasets,Not reported in the citation record,Data normalization and feature standardization,Type-2 fuzzy diagnostic systems,Rule-based fuzzy inference,Diagnostic accuracy and area under the receiver operating characteristic curve,Reports comparative performance across type-2 fuzzy models,Moderate interpretability via rules,Cross-validation and comparative experiments,Computational cost for general type-2,Optimized type-reduction and real clinical validation,Improves guidance on selecting type-2 models,Higher-order,Type-2 uncertainty modeling,No,Standalone,Accuracy improvements versus computational cost,Need for clinical deployment evidence
88,Dragan Pamucar; Adis Puska; Vladimir Simic; Ilija Stojanovic; Muhammet Deveci,2023,Selection of healthcare waste management treatment using fuzzy rough numbers and Aczel–Alsina Function,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2023.106025,Serbia,Healthcare Waste Management,Public Health,Fuzzy Rough Numbers,Multi-Criteria Decision-Making,To select optimal healthcare waste treatment options under uncertainty,Expert evaluations and policy criteria,Not applicable,Linguistic scaling and normalization,Fuzzy rough Aczel–Alsina decision framework,Multi-criteria ranking and selection,Ranking robustness and sensitivity analysis,Improves waste treatment technology prioritization,Moderate interpretability via criteria weights,Comparative validation,Expert dependence and context variability,Field implementation and policy benchmarking,Supports safer and more sustainable waste treatment selection,Hybrid,Fuzzy rough uncertainty representation,Yes,Hybrid,Decision robustness versus computational overhead,Need for real-world implementation evaluation
89,Abdollah Amirkhani; Elpiniki I. Papageorgiou; Mohammad R. Mosavi; Karim Mohammadi,2018,A novel medical decision support system based on fuzzy cognitive maps enhanced by intuitive and learning capabilities for modeling uncertainty,Applied Mathematics and Computation,Scopus; Web of Science,10.1016/j.amc.2018.05.032,Iran,Clinical Decision Support,General Diagnosis,Fuzzy Cognitive Maps,Learning and adaptation,To improve decision support using adaptive fuzzy cognitive maps,Clinical expert knowledge and/or clinical datasets,Not reported in the citation record,Data normalization and weight learning,Learning-enhanced fuzzy cognitive map system,Causal reasoning and inference,Prediction accuracy and stability of inference,Improves modeling of uncertainty and diagnostic reasoning,Moderate interpretability via causal graph,Experimental validation,Model parameter tuning and data dependence,Multi-center clinical validation,Strengthens uncertainty-aware clinical reasoning systems,Hybrid,Causal uncertainty modeled by fuzzy weights,No,Hybrid,Improved accuracy versus model tuning complexity,Need for clinical deployment evidence
90,Ashima Anand; Amit Kumar Singh,2021,Cloud based secure watermarking using IWT-Schur-RSVD with fuzzy inference system for smart healthcare applications,Sustainable Cities and Society,Scopus; Web of Science,10.1016/j.scs.2021.103398,India,Health Data Security / Medical Imaging,Cybersecurity in Healthcare,Fuzzy Inference System,Signal processing; watermarking,To secure healthcare media using watermarking and fuzzy inference,Medical images and cloud data,Not reported in the citation record,Image preprocessing and transformation,Cloud watermarking architecture with fuzzy control,Security decision and embedding control,Peak signal-to-noise ratio; Normalized correlation; Bit error rate,Improves robustness of secure watermarking for healthcare content,Moderate interpretability via fuzzy rules,Experimental validation,Trade-off between robustness and visual quality,Integration with hospital information systems,Enhances confidentiality and integrity of health multimedia,Hybrid,Fuzzy control of uncertainty in watermark strength,No,Hybrid,Security robustness versus perceptual quality,Need for real clinical security deployment
91,Sayanta Chakraborty; Apu Kumar Saha,2022,A framework of LR fuzzy AHP and fuzzy WASPAS for health care waste recycling technology,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2022.109388,India,Healthcare Waste Recycling,Public Health,LR Fuzzy Numbers,Fuzzy Analytic Hierarchy Process; WASPAS,To prioritize waste recycling technologies under uncertainty,Expert evaluations,Not applicable,Linguistic scaling and normalization,LR fuzzy AHP–WASPAS framework,Multi-criteria ranking,Ranking stability and sensitivity analysis,Improves selection of recycling technologies,Moderate interpretability via criteria structure,Comparative validation,Subjectivity of expert scores,Field pilots and lifecycle analysis integration,Supports sustainable healthcare waste recycling decisions,Hybrid,LR fuzzy uncertainty modeling,Yes,Hybrid,Robust ranking versus elicitation burden,Need for operational recycling validation
92,Maria Ehn; Mattias Derneborg; Asa Revenas; Antonio Cicchetti,2021,User-centered requirements engineering to manage the fuzzy front-end of open innovation in e-health: A study on support systems for seniors’ physical activity,International Journal of Medical Informatics,Scopus; Web of Science; PubMed,10.1016/j.ijmedinf.2021.104547,Sweden,eHealth / Requirements Engineering,Geriatrics,Fuzzy Front-End (innovation uncertainty),User-centered design,To manage uncertainty in early-stage eHealth innovation requirements,"Interviews, workshops, and user studies",Not reported in the citation record,Thematic analysis and requirement prioritization,User-centered requirements engineering framework,Decision support for requirement selection,Usability indicators and stakeholder agreement,Improves clarity and prioritization of eHealth requirements,High interpretability via transparent process,Qualitative validation with stakeholders,Context dependence and sample limitations,Longitudinal evaluation with deployed systems,Improves design quality for senior-focused eHealth solutions,Hybrid,Uncertainty managed through iterative elicitation,Yes,Hybrid,Richer insights versus time and resource cost,Need for outcome-based evaluation post-deployment
93,Priyan Malarvizhi Kumar; S. Lokesh; R. Varatharajan; Gokulnath Chandra Babu; P. Parthasarathy,2018,Cloud and IoT based disease prediction and diagnosis system for healthcare using Fuzzy neural classifier,Future Generation Computer Systems,Scopus; Web of Science,10.1016/j.future.2018.04.036,India,Internet of Medical Things / Remote Diagnosis,General Diagnosis,Fuzzy Neural Networks,Cloud computing; Internet of Things,To predict and diagnose diseases using cloud–IoT and fuzzy neural classification,IoT sensor and clinical data,Not reported in the citation record,Data cleaning and normalization,Cloud-IoT fuzzy neural architecture,Classification and inference,Classification accuracy and response latency,Improves remote diagnosis performance and automation,Partial interpretability via fuzzy components,Experimental validation,Data privacy and network reliability,Security and real clinical deployment studies,Supports scalable remote health monitoring,Hybrid,Sensor uncertainty handled via fuzzy-neural inference,No,Hybrid,Accuracy and scalability versus privacy risks,Need for secure clinical deployment validation
94,Mahdieh Dastjerdi; Abbas Keramati; Negar Keramati,2023,A novel framework for investigating organizational adoption of AI-integrated CRM systems in the healthcare sector; using a hybrid fuzzy decision-making approach,Telematics and Informatics Reports,Scopus,10.1016/j.teler.2023.100078,Iran,Health Informatics Adoption / CRM,Healthcare Management,Fuzzy Sets,Hybrid decision-making (multi-criteria),To evaluate factors driving organizational adoption of AI-enabled CRM in healthcare,Survey and expert assessments,Not reported in the citation record,Data cleaning and scaling,Hybrid fuzzy adoption decision framework,Multi-criteria prioritization,Model fit indicators and decision consistency,Identifies key adoption determinants and ranks them,Moderate interpretability via criteria weights,Empirical validation,Survey bias and contextual limits,Replication across health systems,Supports evidence-based digital transformation planning,Hybrid,Linguistic uncertainty in adoption factors,Yes,Hybrid,Decision interpretability versus generalizability,Need for cross-country replication
95,Navin K; Mukesh Krishnan M. B.,2024,Fuzzy rule based classifier model for evidence based clinical decision support systems,Intelligent Systems with Applications,Scopus,10.1016/j.iswa.2024.200393,Global,Clinical Decision Support,Evidence-Based Medicine,Fuzzy Rule-Based Classifier,Machine learning classification,To build an evidence-based clinical decision classifier using fuzzy rules,Clinical datasets and evidence repositories,Not reported in the citation record,Data cleaning and feature selection,Fuzzy rule-based classification model,Rule-based inference and classification,Classification accuracy; Precision; Recall; F1-score,Improves evidence-based decision classification with interpretability,High interpretability via rules,Cross-validation,Limited reporting of clinical integration,Prospective clinical validation,Supports transparent decision logic in CDSS,Classical,Linguistic rule-based uncertainty,No,Hybrid,Interpretability versus model coverage,Need for real-world clinical evaluation
96,Ertugrul Ayyildiz; Melike Erdogan; Muhammet Gul,2024,A comprehensive risk assessment framework for occupational health and safety in pharmaceutical warehouses using Pythagorean fuzzy Bayesian networks,Engineering Applications of Artificial Intelligence,Scopus; Web of Science,10.1016/j.engappai.2024.108763,Turkey,Occupational Health and Safety,Pharmaceutical Safety,Pythagorean Fuzzy Sets,Bayesian networks,To assess risks in pharmaceutical warehouses under uncertainty,Expert assessments and incident factors,Not applicable,Linguistic scaling and probability calibration,Pythagorean fuzzy Bayesian network model,Risk inference and prioritization,Risk probability estimation and ranking stability,Improves estimation of warehouse safety risks,Moderate interpretability via network structure,Expert validation,Expert dependence and calibration demands,Field testing and incident data linkage,Supports safer warehouse operations,Higher-order,Pythagorean fuzzy uncertainty and probabilistic reasoning,No,Hybrid,Better risk expressiveness versus higher complexity,Need for real incident-based validation
