Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)",Domains,"Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)","Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Summary of the study,Results based on Evaluation metrics,Key Results / Findings,Challenges / Limitations,Future Research Directions,Identified Research Gap Type
30,Yajie Liao; Xindong Peng,2024,Pythagorean fuzzy information measure with applications in multi-criteria decision-making and medical diagnosis,Engineering Applications of Artificial Intelligence,Scopus,10.1016/j.engappai.2024.108927,China,COPD (Chronic obstructive pulmonary disease) ,Respiratory Health,Pythagorean Fuzzy Sets,MCDM,Comparative superiority of information measures; application effectiveness,"This paper studies several information measures for Pythagorean fuzzy sets, including inclusion, similarity, knowledge, distance, and entropy measures, and investigates transformation relationships among them. It also introduces new specific formulas and compares them with existing Pythagorean fuzzy information measures to demonstrate superiority. Finally, the measures are applied to medical diagnosis and multi-criteria decision-making. In healthcare, the contribution is methodological rather than a single disease-specific predictive model, but it provides a richer mathematical toolkit for handling uncertainty in diagnosis. These information measures can support more effective reasoning and comparison in medical decision processes where hesitation and ambiguity are important.","Qualitative: authors provide examples and comparisons showing superiority and effectiveness in medical diagnosis and MCDM applications, but no standard numeric predictive metrics were visible in the provided text.",Improved diagnostic differentiation,Limited clinical testing,Real-world diagnosis studies,Limited applied studies
31,Arunodaya Raj Mishra; Pratibha Rani; Parvaneh Saeidi; Adel Fahad Alrasheedi; Ahmad M. Alshamrani,2024,Decision support framework for healthcare waste disposal techniques assessment using an integrated picture fuzzy gained and lost dominance score-based approach,Engineering Applications of Artificial Intelligence,Scopus,10.1016/j.engappai.2024.109394,India,Public Health - Waste Management,General Health,Picture Fuzzy Sets,MCDM,Dominance scores; sensitivity analysis,"This study develops a picture fuzzy group decision-making framework for evaluating healthcare waste disposal techniques. It incorporates distance measures and dominance scoring to rank alternatives under uncertainty. In healthcare, it supports environmentally responsible and safe waste management decisions.",Qualitative: robust and effective ranking results,Effective waste disposal ranking,Subjective judgments,Field implementation,Operational validation gap
32,Tianhua Chen; Changjing Shang; Pan Su; Elpida Keravnou-Papailiou; Yitian Zhao; Grigoris Antoniou; Qiang Shen,2021,A Decision Tree-Initialised Neuro-fuzzy Approach for Clinical Decision Support,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2020.101986,UK,"General Medicine (combination of multiple health conditions - Appendicitis,Blood Transfusion,Mammographic Mass, Parkinson's Diseases,Pima Indians Diabetes, Thyroid Gland, Vertebral Column, Wisconsin (Diagnostic) Breast Cancer, and Wisconsin (Original) Breast Cancer)",General Health,Neuro-Fuzzy Systems,Decision Trees,Model performance comparison,"This study proposes a neuro-fuzzy approach where decision tree-generated rules are transformed into fuzzy rules and optimized using ANFIS. It produces interpretable and accurate clinical decision models. In healthcare, it supports explainable AI-driven diagnosis.",Qualitative: comparable or better than state-of-the-art models,Improved prediction accuracy,Model complexity,Explainable neuro-fuzzy models,Explainability gap
33,Jeroen S. de Bruin; Klaus-Peter Adlassnig; Alexander Blacky; Walter Koller,2016,Detecting borderline infection in an automated monitoring system for healthcare-associated infection using fuzzy logic,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2016.04.005,Austria,"General Health (multiple conditions, including Leukopenia and Leukocytosis)",General Health,Fuzzy Logic,Rule-based system,Classification categories,"This study develops a fuzzy logic-based monitoring system for detecting healthcare-associated infections. It introduces a borderline classification between normal and pathological states. In healthcare, it improves infection surveillance and diagnostic granularity.","Qualitative: classification into normal, borderline, pathological",Early infection detection,Limited scalability,ICU-wide deployment,Large-scale validation gap
34,Elif Haktan?r; Cengiz Kahraman,2022,A novel picture fuzzy CRITIC & REGIME methodology: Wearable health technology application,Engineering Applications of Artificial Intelligence,Scopus,10.1016/j.engappai.2022.104942,Turkey,COVID-19,Respiratory Health,Picture Fuzzy Sets,CRITIC; REGIME,Sensitivity analysis; ranking stability,"This study develops a picture fuzzy MCDM approach integrating CRITIC and REGIME methods for selecting wearable health technologies. It handles uncertainty and ranks alternatives effectively. In healthcare, it aids stakeholders in selecting appropriate wearable technologies.",Qualitative: robust ranking and stable results across scenarios,Improved technology evaluation,Expert bias,Clinical performance studies,Lack of clinical trials
35,Peijia Ren; Zeshui Xu; Huchang Liao; Xiao-Jun Zeng,2017,A thermodynamic method of intuitionistic fuzzy MCDM to assist the hierarchical medical system in China,Information Sciences,Scopus,10.1016/j.ins.2017.08.070,China,"Respiratory infection (multiple conditions - bronchial asthma, pneumothorax, chronic obstructive pulmonary disease, and other respiration diseases)",Respiratory Health,Intuitionistic Fuzzy Sets,MCDM,Comparative decision performance,"This paper proposes a thermodynamic intuitionistic fuzzy MCDM method that evaluates both quantity and quality of information in decision-making. It is applied to a healthcare system case study, improving decision consistency and reliability. In healthcare, it supports better system-level planning and evaluation.",Qualitative: improved decision consistency vs TOPSIS and weighted averaging,Improved policy decision quality,Context dependency,Cross-country studies,Generalization gap
36,Mohammad Ennab; Hamid Mcheick,2025,A novel convolutional interpretability model for pixel-level interpretation of medical image classification through fusion of machine learning and fuzzy logic,Smart Health,Scopus,10.1016/j.smhl.2024.100535,Canada,COVID-19,Respiratory Health,Fuzzy Logic,Deep Learning (CNN),Accuracy improvement; statistical significance,"This study proposes an interpretable AI model combining machine learning and fuzzy logic to provide pixel-level explanations in medical imaging. It identifies lesion contributions and improves clinician trust in AI systems. In healthcare, it enhances transparency and diagnostic confidence.",10â€“15% accuracy improvement; p < 0.05,High accuracy with interpretability,High computational cost,Real-time explainable AI,Clinical deployment gap
37,Miguel Ortiz-Barrios; Natalia Jaramillo-Rueda; Andrea Espeleta-Aris; Berk Kucukaltan; Llanos Cuenca,2025,Integrated fuzzy decision-making methodology with intuitionistic fuzzy numbers: An application for disaster preparedness in clinical laboratories,Expert Systems with Applications,Web of Science,10.1016/j.eswa.2024.125712,Colombia,Seasonal Respiratory Diseases (SRDs),Respiratory Health,Intuitionistic Fuzzy Sets,Multi-Criteria Decision-Making,Preparedness Index; MCDM comparison,"This study presents a hybrid MCDM framework combining IF-AHP, IF-DEMATEL, and CoCoSo to assess disaster preparedness in clinical laboratories during respiratory disease outbreaks. It evaluates interdependencies among criteria and produces a preparedness index. In healthcare, it supports decision-makers in improving lab readiness and response to pandemics.",Qualitative: effective identification of key drivers and preparedness gaps,Improved preparedness prioritization and decision robustness,Subjectivity of expert inputs,Integration with real-time laboratory systems,Lack of real disaster case validation
38,Bharath Subramani; Magudeeswaran Veluchamy,2019,Fuzzy contextual inference system for medical image enhancement,Measurement,Web of Science,10.1016/j.measurement.2019.106967,India,Radiology,General Health,Fuzzy Logic,Image processing algorithms,PSNR; Entropy; Contrast ratio; EME,"This study proposes a fuzzy contextual dissimilarity adaptive histogram equalization method for enhancing medical images, especially MRI. It uses fuzzy inference to improve contrast and preserve natural image characteristics, aiding diagnosis. In healthcare, the system enhances visual quality for better clinical interpretation and disease detection.",Qualitative: outperforms existing methods across all metrics,Improved contrast and visibility of medical images,Parameter sensitivity,Extension to multimodal imaging,Limited clinical validation
39,Esra Ilbahar; Ali Kara?an; Selcuk Cebi; Cengiz Kahraman,2018,A novel approach to risk assessment for occupational health and safety using Pythagorean fuzzy AHP & fuzzy inference system,Safety Science,Web of Science,10.1016/j.ssci.2017.10.025,Turkey,Workplace Safety,Occupational Health,Pythagorean Fuzzy Sets,Fuzzy Analytic Hierarchy Process,Comparative risk assessment,"This study introduces a hybrid risk assessment framework combining Pythagorean fuzzy AHP, fuzzy inference systems, and Fine Kinney method to evaluate occupational health and safety risks. It models uncertainty in risk prioritization and provides more reliable and informative outcomes than traditional methods. In healthcare-related safety environments, it supports better hazard identification and mitigation decisions.",Qualitative: improved reliability and representation of uncertainty vs existing methods,Improved identification of critical risks,Expert bias,Application to real workplaces,Operational validation gap
40,Kubra Noor; Ubaida Fatima; Fahim Raees,2025,Meta-learning driven multi disease fuzzy neural framework for clinical risk prediction,IBRO Neuroscience Reports,Scopus,10.1016/j.ibmed.2025.100315,Pakistan,Multi-disease diagnosis (General),General Health,Fuzzy Neural Networks,Meta-learning,Accuracy,"This study proposes a meta-learning inspired hybrid framework combining Fuzzy C-Means clustering and neural networks for multi-disease risk prediction using datasets for heart disease, diabetes, and cancer. Fuzzy clustering models intra-class variability, while cluster-specific neural networks capture patterns, and fuzzy membership values aggregate predictions. In healthcare, the model supports early diagnosis and decision-making across multiple diseases with improved interpretability and adaptability to heterogeneous patient data.",Heart disease: 85.25%; Diabetes: 81.2%; Cancer: 95.1%,Improved multi-disease risk prediction,Data heterogeneity,Personalized healthcare prediction,Explainability gap
41,Ruichen Zhang; Xunjie Gou; Zeshui Xu,2021,A multi-attribute decision-making framework for Chinese medicine medical diagnosis with correlation measures under double hierarchy hesitant fuzzy linguistic environment,Computers & Industrial Engineering,Web of Science,10.1016/j.cie.2021.107243,China,"Traditional Chinese Medicine (multiple conditions: Viral fever 
, Typhoid 
, Pneumonia 
, Stomach ulcer 
 and Stroke 
.)",General Health,Hesitant Fuzzy Linguistic Sets,MCDM,Correlation measure; decision ranking,This study proposes a decision-making framework using double hierarchy hesitant fuzzy linguistic term sets for Chinese medicine diagnosis. It models linguistic uncertainty and supports multi-criteria decisions.,Qualitative: effective and feasible decision framework,Improved diagnostic reasoning,Cultural specificity,Integration with modern medicine,Limited cross-domain use
42,Ihsan Ullah; Hee Yong Youn; Youn-Hee Han,2021,Integration of type-2 fuzzy logic and Dempster–Shafer Theory for accurate inference of IoT-based health-care system,Future Generation Computer Systems,Web of Science,10.1016/j.future.2021.06.012,South Korea,"Remote Monitoring (blood pressure (BP), blood sugar (BS), and cholesterol (Ch))",General Health,Type-2 Fuzzy Logic,Dempster–Shafer Theory,Accuracy comparison,"This study integrates type-2 fuzzy logic and Dempsterâ€“Shafer theory for multi-sensor data fusion in IoT healthcare systems. It improves inference accuracy under uncertainty. In healthcare, it supports remote monitoring and better diagnosis.",Qualitative: significantly improves accuracy over existing methods,Improved decision accuracy,Data fusion complexity,Scalable IoT healthcare systems,System integration gap
43,Kindie Biredagn Nahato; Khanna H. Nehemiah; A. Kannan,2016,Hybrid approach using fuzzy sets and extreme learning machine for classifying clinical datasets,Informatics in Medicine Unlocked,Web of Science,10.1016/j.imu.2016.01.001,India,"General Diagnosis (Cleveland heart disease (CHD), Statlog heart disease (SHD) and Pima Indian diabetes (PID))",Physical Health,Fuzzy Sets,Extreme Learning Machine,Accuracy,"This study proposes a hybrid fuzzy set and extreme learning machine model for clinical dataset classification. It preprocesses, fuzzifies, and classifies medical data. In healthcare, it improves diagnostic accuracy across multiple datasets.",CHD: 93.55%; SHD: 94.44%; Diabetes: 92.54%,Improved classification performance,Data dependency,Multi-disease classification,Explainability gap
44,Junhua Hu; Li Pan; Yan Yang; Haiwei Chen,2019,A group medical diagnosis model based on intuitionistic fuzzy soft sets,Applied Soft Computing,Web of Science,10.1016/j.asoc.2019.01.041,China,"General Diagnosis: viral fever, malaria, typhoid etc",General Health,Intuitionistic Fuzzy Soft Sets,Group decision-making,Comparative evaluation,"This study develops a group decision-making model for medical diagnosis using intuitionistic fuzzy soft sets and Bonferroni mean operators. It determines expert weights and integrates evaluations. In healthcare, it supports collaborative diagnosis under uncertainty.",Qualitative: effective and practical diagnosis model,Improves group diagnostic decisions under uncertainty,Limited reporting of clinical deployment,Clinical benchmarking and real-world evaluation,Limited reporting of real clinical integration
45,Juan Albino Mendez; Ana Leon; Ayoze Marrero; Jose M. Gonzalez-Cava; Jose Antonio Reboso; Jose Ignacio Estevez; José F. Gomez-Gonzalez,2018,Improving the anesthetic process by a fuzzy rule based medical decision system,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2017.12.005,Spain,Anesthesiology,General Health,Fuzzy Logic,Fuzzy rule-based system,Clinical performance comparison,"This study presents a fuzzy rule-based system for automated drug delivery during anesthesia. It uses BIS signals and fuzzy control to adjust infusion rates. In healthcare, it improves patient safety and reduces clinician workload.",Qualitative: outperforms manual drug administration,Improves consistency of anesthetic management decisions,Deployment constraints and patient variability,Integration into operating-room clinical workflows,Need for multi-center clinical validation
46,Xiaodi Liu; Zengwen Wang; Shitao Zhang; Harish Garg,2021,Novel correlation coefficient between hesitant fuzzy sets with application to medical diagnosis,Expert Systems with Applications,Web of Science,10.1016/j.eswa.2021.115393,China and India,Medical Diagnosis,General Health,Hesitant Fuzzy Sets,Statistical correlation modeling,Comparative analysis,"This study introduces a new correlation coefficient for hesitant fuzzy sets to better capture relationships in uncertain data. It is applied to medical diagnosis with comparative analysis. In healthcare, it enhances decision-making accuracy in uncertain diagnostic environments.",Qualitative: improved correlation performance over existing methods,Improves diagnosis via robust fuzzy correlation modeling,Limited clinical validation,Real-world clinical dataset evaluation,Need for applied clinical evaluation
47,Ben Zhang; Chenxu Ming,2023,A patent portfolio value analysis based on intuitionistic fuzzy sets: An empirical analysis of artificial intelligence for healthcare,Journal of Industrial Information Integration,Web of Science,10.1016/j.joitmc.2023.100124,China,General Health,General Health,Intuitionistic Fuzzy Sets,Portfolio valuation analytics,Ranking; portfolio evaluation,"This study develops an intuitionistic fuzzy set-based evaluation framework for analyzing patent portfolio value in healthcare AI. It integrates open innovation theory and evaluates patent data to rank portfolios. In healthcare, it supports strategic decision-making for innovation and resource allocation.",Qualitative: produces ranked patent portfolio values for decision-making,Improves interpretation of innovation value under uncertainty,Data completeness and valuation bias,Linking patents to clinical outcomes,Need for clinical impact linkage
48,P. Muthukumar; G. Sai Sundara Krishnan,2016,A similarity measure of intuitionistic fuzzy soft sets and its application in medical diagnosis,Applied Soft Computing,Web of Science,10.1016/j.asoc.2015.12.002,India,Medical Diagnosis,General Health,Intuitionistic Fuzzy Soft Sets,Similarity measures,Accuracy; Sensitivity; Specificity; ROC; AUC; F-measure,"This study proposes new similarity and weighted similarity measures for intuitionistic fuzzy soft sets and applies them to medical diagnosis problems. The method is validated on multiple UCI datasets and compared with existing approaches. In healthcare, it supports accurate diagnosis by improving similarity-based classification under uncertainty.","Qualitative: higher accuracy, sensitivity, and F-measure than existing methods",Improves classification of diagnostic alternatives,Limited clinical evaluation,Clinical dataset testing and deployment,Need for clinical benchmarking
49,M.M. Kamruzzaman; Saad Alanazi; Madallah Alruwaili; Ibrahim Alrashdi; Yousef Alhwaiti; Nasser Alshammari,2022,Fuzzy-assisted machine learning framework for the fog-computing system in remote healthcare monitoring,Measurement,Web of Science,10.1016/j.measurement.2022.111085,Saudi Arabia,Chronic Disease Monitoring,General Health,Fuzzy Logic,Machine Learning; Fog computing,Accuracy comparison; robustness,This study proposes a fuzzy evidential network combining fuzzy logic and evidence theory for diagnosis and prognosis.,Qualitative: superior performance vs ML methods,Improves monitoring accuracy and reduces response delays,Resource constraints and network variability,Edge deployment and security integration,Need for real clinical deployment evaluation
50,Muhammad Touqeer; Sadaf Shaheen; Tahira Jabeen; Saleh Al Sulaie; Dumitru Baleanu; Ali Ahmadian,2022,A signed distance based ranking approach with unknown fuzzy priority vectors for medical diagnosis involving interval type-2 trapezoidal pythagorean fuzzy preference relations,Operational Research Perspectives,Scopus,10.1016/j.orp.2022.100259,"Pakistan, Saudi Arabia, Turkey, and Italy",Medical Diagnosis,General Health,Interval Type-2 Pythagorean Fuzzy Sets,Ranking and preference modeling,Ranking; optimization model,This study proposes a ranking method using interval type-2 fuzzy preference relations for medical diagnosis.,Qualitative: effective decision-making,Improves ranking accuracy under incomplete preferences,Complex formulation and computation,Simplified ranking for clinical settings,Need for applied clinical decision evaluation
51,Fei Gao; Meihong Han; Siyang Wang; Jie Gao,2024,A novel Fermatean fuzzy BWM-VIKOR based multi-criteria decision-making approach for selecting health care waste treatment technology,Engineering Applications of Artificial Intelligence,Web of Science,10.1016/j.engappai.2023.107451,China,Public Health,General Health,Fermatean Fuzzy Sets,Best–Worst Method; VIKOR,Ranking; sensitivity analysis,This study proposes a fuzzy MCDM framework for selecting healthcare waste treatment technologies.,Qualitative: robust decision outcomes,Improves waste technology selection under uncertainty,Expert dependence and contextual variation,Field trials and policy integration,Need for implementation evaluation
52,Amin Janghorbani; Mohammad Hassan Moradi,2017,Fuzzy Evidential Network and Its Application as Medical Prognosis and Diagnosis Models,Journal of Biomedical Informatics,PubMed,10.1016/j.jbi.2017.07.004,Iran,Medical Prognosis and Diagnosis,General Health,Fuzzy Logic,Dempster–Shafer evidence networks,Comparative performance; robustness; handling of missing data,"This study proposes a fuzzy evidential network that integrates fuzzy logic with evidence theory to model uncertainty in medical diagnosis and prognosis. The framework addresses limitations of traditional evidential networks by incorporating linguistic variables and a data-driven learning algorithm based on fuzzy maximum likelihood. It also introduces a method to handle missing values in clinical datasets. In healthcare, the model improves diagnostic and prognostic decision-making by combining multiple uncertainty-handling techniques, making it suitable for complex medical environments where incomplete and imprecise information is common, and enabling more reliable clinical decision support compared to conventional approaches.",Qualitative: demonstrated superior performance compared to traditional machine learning methods; improved robustness and effective handling of missing values,Improves prognosis and diagnostic reasoning under uncertainty,Model complexity and data requirements,Scaling to multi-institution data,Need for large-scale clinical validation
53,Igor Barone de Medeiros; Maria Augusta Soares Machado; Wallace José Damasceno; André Machado Caldeira; Rodrigo Costa dos Santos; Joel Batista da Silva Filho,2017,A Fuzzy Inference System to Support Medical Diagnosis in Real Time,Procedia Computer Science,Scopus,10.1016/j.procs.2017.11.356,Brazil,Medical Diagnosis,General Health,Fuzzy Inference System,Rule-based inference,Real-time decision performance,This study presents a real-time fuzzy inference system for medical diagnosis and patient risk assessment.,Qualitative: improves efficiency and reduces workload,Improves real-time diagnostic decision support,Limited scope of clinical testing,Integration with hospital systems,Need for broader clinical deployment
54,Wei Li; Xiaolei Wang; Bin Yang,2024,Three-way decisions with dual hesitant fuzzy covering-based rough set and their applications in medical diagnosis,Applied Soft Computing,Web of Science,10.1016/j.asoc.2024.111695,China,Medical Diagnosis,General Health,Dual Hesitant Fuzzy Sets,Rough sets; Three-way decision theory,Decision accuracy; probabilistic evaluation,This study proposes three-way decision models using dual hesitant fuzzy covering-based rough sets for medical diagnosis under uncertainty.,Qualitative: effective diagnostic performance,Improves handling of uncertain diagnosis via three-way outcomes,Model complexity,Clinical validation with real cases,Need for clinical validation
55,Majid Ghasemi; Manoochehr Kelarestaghi; Farshad Eshghi; Arash Sharifi,2020,FDSR: A new fuzzy discriminative sparse representation method for medical image classification,Artificial Intelligence in Medicine,PubMed,10.1016/j.artmed.2020.101876,Iran,Radiology,General Health,Fuzzy Logic,Sparse representation learning,Accuracy; Sensitivity; Specificity,This study introduces a fuzzy discriminative sparse representation model for medical image classification improving diagnostic accuracy.,Qualitative: outperforms existing methods,Improves image classification performance under uncertainty,Computational demand,Real-time imaging workflow deployment,Need for deployment studies
56,Shengli Li; Cuiping Wei,2020,A large scale group decision making approach in healthcare service based on sub-group weighting model and hesitant fuzzy linguistic information,Computers & Industrial Engineering,Web of Science,10.1016/j.cie.2020.106444,China,Health Service Quality,,Hesitant Fuzzy Linguistic Sets,Group decision-making,Decision ranking; optimization model,This study develops a group decision-making framework using hesitant fuzzy linguistic information to evaluate healthcare services and management decisions.,Qualitative: effective model via case study,Improves large-scale healthcare service decisions,Scalability and data collection constraints,Integration with patient satisfaction analytics,Need for real operational evaluation
57,Garima Bisht; A.K. Pal,2024,Prospect-regret theory based decision-making approach for incomplete probabilistic hesitant fuzzy environment: An application to medical field,Expert Systems with Applications,Web of Science,10.1016/j.eswa.2024.123906,India,Medical Decision-Making,Physical Health,Probabilistic Hesitant Fuzzy Sets,Prospect theory; Regret theory,Sensitivity analysis; comparative analysis,This study proposes a probabilistic hesitant fuzzy decision-making model integrating prospect and regret theory for medical decisions under uncertainty. It improves reliability by incorporating behavioral factors.,Qualitative: validated effectiveness and stability,Improves decision stability under incomplete information,Model complexity,Clinical decision case studies and validation,Need for clinical case validation
58,Bandar Ali Mohammed Al-Rami Al-Ghamdi,2024,Analyzing the impact of data visualization applications for diagnosing the health conditions through hesitant fuzzy-based hybrid medical expert system,Alexandria Engineering Journal,Web of Science,10.1016/j.asej.2024.102705,Saudi Arabia,General Diagnosis,General Health,Hesitant Fuzzy Sets,Medical expert system,MCDM evaluation; comparative analysis,"This study proposes a hesitant fuzzy-based hybrid medical decision support system integrated with visual analytics tools to evaluate healthcare data reliability and improve diagnosis. It combines MCDM methods such as ANP and TOPSIS to assess visualization tools. In healthcare, it improves diagnostic decision-making and data trust.",Qualitative: DOMO BI identified as most robust,Improves diagnostic decision quality with visualization support,Usability variability,Clinical usability trials,Need for user-centered clinical validation
59,Ananya Bose; Ujjwal Maulik; Anasua Sarkar,2024,An entropy-based membership approach on type-II fuzzy set (EMT2FCM) for biomedical image segmentation,Engineering Applications of Artificial Intelligence,Web of Science,10.1016/j.engappai.2023.107267,India,Radiology,General Health,Type-2 Fuzzy Sets,Clustering and entropy modeling,MSE; Dice; Jaccard; Accuracy; Sensitivity,This study proposes an entropy-based fuzzy clustering method for MRI segmentation improving accuracy.,Qualitative: improved segmentation performance,Improves segmentation boundary quality under uncertainty,Parameter sensitivity,Clinical imaging workflow evaluation,Need for clinical segmentation benchmarking
60,Emanuel Ontiveros; Patricia Melin; Oscar Castillo,2020,Comparative study of interval Type-2 and general Type-2 fuzzy systems in medical diagnosis,Information Sciences,Web of Science,10.1016/j.ins.2020.03.059,Mexico,Medical Diagnosis,General Health,Type-2 Fuzzy Logic,Comparative modeling,Accuracy comparison,This study compares Type-2 fuzzy systems for improving diagnostic accuracy.,Qualitative: improved accuracy over Type-1,Reports comparative performance across type-2 fuzzy models,Computational cost for general type-2,Optimized type-reduction and real clinical validation,Need for clinical deployment evidence
61,Maria Ehn; Mattias Derneborg; Asa Revenas; Antonio Cicchetti,2021,User-centered requirements engineering to manage the fuzzy front-end of open innovation in e-health: A study on support systems for seniors’ physical activity,International Journal of Medical Informatics,PubMed,10.1016/j.ijmedinf.2021.104547,Sweden,Geriatrics,Physical Health,Fuzzy Front-End (innovation uncertainty),User-centered design,Qualitative evaluation,This study applies user-centered requirements engineering for e-health system design under uncertainty.,Qualitative: effective system design,Improves clarity and prioritization of eHealth requirements,Context dependence and sample limitations,Longitudinal evaluation with deployed systems,Need for outcome-based evaluation post-deployment
62,Priyan Malarvizhi Kumar; S. Lokesh; R. Varatharajan; Gokulnath Chandra Babu; P. Parthasarathy,2018,Cloud and IoT based disease prediction and diagnosis system for healthcare using Fuzzy neural classifier,Future Generation Computer Systems,Scopus,10.1016/j.future.2018.04.036,India,General Diagnosis,General Health,Fuzzy Neural Networks,Cloud computing; Internet of Things,Accuracy,This study proposes a cloud and IoT-based system using fuzzy neural classifiers for disease prediction.,Qualitative: outperforms existing systems,Improves remote diagnosis performance and automation,Data privacy and network reliability,Security and real clinical deployment studies,Need for secure clinical deployment validation
63,Mahdieh Dastjerdi; Abbas Keramati; Negar Keramati,2023,A novel framework for investigating organizational adoption of AI-integrated CRM systems in the healthcare sector; using a hybrid fuzzy decision-making approach,Telematics and Informatics Reports,Scopus,10.1016/j.teler.2023.100078,Iran,Healthcare Management - analyze patient-related data,General Health,Fuzzy Sets,Hybrid decision-making (multi-criteria),Ranking; influence analysis,This study develops a fuzzy ANP-DEMATEL framework to analyze adoption of AI-integrated CRM systems.,Qualitative: key influencing factors identified,Identifies key adoption determinants and ranks them,Survey bias and contextual limits,Replication across health systems,Need for cross-country replication
64,Navin K; Mukesh Krishnan M. B.,2024,Fuzzy rule based classifier model for evidence based clinical decision support systems,Intelligent Systems with Applications,Scopus,10.1016/j.iswa.2024.200393,India,Evidence-Based Medicine - EHR,General Health,Fuzzy Rule-Based Classifier,Machine learning classification,Model performance,This study proposes a fuzzy rule-based classifier using EHR data for clinical decision support.,Qualitative: strong discriminant capability,Improves evidence-based decision classification with interpretability,Limited reporting of clinical integration,Prospective clinical validation,Need for real-world clinical evaluation
65,Ertugrul Ayyildiz; Melike Erdogan; Muhammet Gul,2024,A comprehensive risk assessment framework for occupational health and safety in pharmaceutical warehouses using Pythagorean fuzzy Bayesian networks,Engineering Applications of Artificial Intelligence,Web of Science,10.1016/j.engappai.2024.108763,Turkey,Pharmaceutical Safety,Occupational Health,Pythagorean Fuzzy Sets,Bayesian networks,Sensitivity analysis; validation,This study proposes a fuzzy Bayesian network model for occupational health risk assessment using Pythagorean fuzzy sets.,Qualitative: effective risk assessment,Improves estimation of warehouse safety risks,Expert dependence and calibration demands,Field testing and incident data linkage,Need for real incident-based validation
66,Priya Sharma; Mukesh Kumar Mehlawat; Pankaj Gupta; Shilpi Verma,2025,Selecting a health emergency strategy through large-scale multi-criteria decision-making based on intuitionistic fuzzy self-confidence data,Applied Soft Computing,Web of Science,10.1016/j.asoc.2025.113085,India,Public Health,General Health,Intuitionistic Fuzzy Sets,Large-scale multi-criteria decision-making,Ranking; optimization,This study proposes a large-scale group decision-making framework using intuitionistic fuzzy self-confidence data and optimization for healthcare emergency strategy selection.,Qualitative: robust and adaptable results,Improves robustness of emergency strategy selection,Complex stakeholder elicitation,Integration into emergency preparedness plans,Need for real emergency drill validation
67,Ankita Bose; Kalyani Mali,2021,Type-reduced vague possibilistic fuzzy clustering for medical images,Pattern Recognition,Web of Science,10.1016/j.patcog.2020.107784,India,Radiology,General Health,Possibilistic Fuzzy Clustering,Type-reduction,Accuracy; robustness,This study proposes a clustering model combining fuzzy membership and possibilistic typicality within a vague set framework for medical image segmentation. It improves segmentation accuracy and robustness in MRI and CT images.,"Qualitative: superior robustness vs FCM, PCM, VCM, IPFCM",Improves robustness to noise in segmentation,Parameter sensitivity,Benchmarking on diverse modalities,Need for clinical workflow validation
68,Tin-Chih Toly Chen; Chi-Wei Lin,2022,An FGM decomposition-based fuzzy MCDM method for selecting smart technology applications to support mobile health care during and after the COVID-19 pandemic,Applied Soft Computing,Web of Science,10.1016/j.asoc.2022.108758,Taiwan,Public Health,Respiratory Health,Fuzzy Sets,Fuzzy multi-criteria decision-making,Ranking,This study proposes a fuzzy MCDM framework for selecting mobile healthcare technologies.,Qualitative: improved decision flexibility,Improves technology selection for mHealth support,Context dependence,Implementation evaluation in health systems,Need for operational adoption validation
69,Elhadi E. Elamir; M. El Sayed; Ria H. Egami; Fathea M. Osman Birkea; S.A. Alblowi; M.A. El Safty,2024,Max-min Fuzzy and soft sets approach in constructing fuzzy soft matrix for medical decision-making during epidemics,Alexandria Engineering Journal,Web of Science,10.1016/j.aej.2024.05.006,Egypt,Public Health,Respiratory Health,Fuzzy Soft Sets,Soft computing decision matrices,Success rate,This study proposes a fuzzy-soft decision-making model for epidemic scenarios.,>90% decision accuracy,Improves structured decision-making during epidemics,Limited applied evaluation,Real epidemic data-driven validation,Need for real-world epidemic validation
70,Rong Jiang; Rui Liu; Tao Zhang; Weiping Ding; Shenghu Tian,2024,An electronic medical record access control model based on intuitionistic fuzzy trust,Information Sciences, Web of Science,10.1016/j.ins.2023.120054,China,Medical records,General Health,Intuitionistic Fuzzy Sets,Trust modeling,Accuracy,This study proposes a fuzzy trust-based access control model for EMR security.,95% access identification; 94.29% abnormal detection,Improves access control reliability and trust modeling,Policy complexity,Integration with hospital identity management,Need for real hospital implementation studies
